Shanghai	상하이
Mission Valley	미션 밸리
Valley View	밸리 뷰
Sumter County	섬터 카운티
Bradley County	브래들리 카운티
Calhoun County	캘훈 카운티
Ouachita County	와시토 카운티
Woodruff County	우드러프 카운티
Gogebic County	고게빅 카운티
Wayne County	웨인 카운티
Clark County	클라크 카운티
Douglas County	더글러스 카운티
Mercer County	머서 카운티
Putnam County	퍼트넘 카운티
Worth County	워스 카운티
Fallon County	폴런 카운티
Butler County	버틀러 카운티
Garfield County	가필드 카운티
Kimball County	킴벌 카운티
Logan County	로건 카운티
Loup County	루프 카운티
Mercer County	머서 카운티
Harmon County	하먼 카운티
Jefferson County	제퍼슨 카운티
Johnston County	존스턴 카운티
Nowata County	노와타 카운티
DeKalb County	드칼브 카운티
Hartley County	하틀리 카운티
Dora	도라
Elba	엘바
Elkmont	엘크몬트
Florence	플로렌스
Gantts Quarry	갠츠쿼리
Hamilton	해밀턴
Hanceville	핸스빌
Henagar	헤나가르
Hodges	호지슨
Hoover	후버
Irondale	아이언데일
Lexington	렉싱턴
Titus County	티투스 카운티
North Courtland	노스코트랜드
Orrville	오르빌
Russellville	러셀빌
Satsuma	셋수마
Summerdale	서머데일
Webb	웨브
Wedowee	웨도위
Beebe	비브
Bull Shoals	불숄스
Cabot	캐벗
Mountain Home	마운틴홈
Mountain View	마운틴뷰
Trumann	트루먼
West Helena	웨스트 헬레나
Altus	앨투스
Black Springs	블랙스프링스
Monte Sereno	몬테세레노
Brush	브러시
Sawpit	서핏
Sugar City	슈거시티
Cheshire	체셔
Starke	스타키
Wilton Manors	윌턴 매너스
Woodstock	우드스턱
Summertown	서머타운
Carnesville	카너즈빌
Murtaugh	머토프
Mount Carroll	마운트 캐럴
Chicago Heights	시카고 하이츠
East Dubuque	이스트 드뷰크
Amboy	앰보이
Chenoa	셰노아
South Beloit	사우스 벨로잇
Ambia	앰비아
Lebanon	레바논
Odon	오든
Yorktown	요크타운
Gas City	개스 시티
Elizabeth	엘리자베스
Crothersville	크로더스빌
Rensselaer	렌셀러
North Vernon	노스 버넌
Country Club Heights	카운티 클럽 하이츠
Martinsville	마틴스빌
Long Beach	롱비치
Wanatah	와나타
Burns Harbor	번스 하버
Fairland	페어랜드
Chrisney	크리즈니
Roann	로언
Greens Fork	그린스 포크
Bluffton	플러프턴
Atkins	앳킨스
Norway	노르웨이
Lewis	루이스
Elkader	엘캐더
Monona	모노나
Denison	데니슨
Manilla	마닐라
Terril	테릴
Rippey	리피
Conrad	콘래드
Forest City	포레스트 시티
Mondamin	몬다민
Dakota City	다코타 시티
Hardy	하디
Livermore	리버모어
Thor	소어
Morley	몰리
Delta	델타
Fort Madison	포트 매디슨
Houghton	호튼
Walker	워커
Pleasantville	플레전트빌
Turin	투린
Albia	앨비아
Villisca	빌리스카
Sutherland	서덜랜드
Shambaugh	섐보우
Plover	플러버
Zearing	지어링
Ottumwa	오툼와
Buffalo Center	버펄로 센터
Sergeant Bluff	서전트 블러프
Muscotah	머스코타
Sun City	선 시티
Bird City	버드 시티
Clay Center	클레이 센터
Longford	롱퍼드
Protection	프로텍션
Grainfield	그레인필드
Cimarron	시머론
Bluff City	블러프 시티
Sublette	서블렛
Adams County	애덤스 카운티
Prairie Village	프레리 빌리지
Roeland Park	롤런드 파크
Basehor	바시어
Dearing	디어링
Chanute	채누트
Ness City	네스 시티
Kirwin	커윈
Abbyville	애비빌
Narka	나르카
Bison	바이슨
Dorrance	도런스
Salina	설라이나
Scott City	스콧 시티
Hugoton	휴고턴
Brown County	브라운 카운티
Pulaski County	풀라스키 카운티
Putnam County	퍼트넘 카운티
Toronto	토론토
Cave City	케이브 시티
Catlettsburg	캐틀레츠버그
Silver Grove	실버 그로브
Mayfield	메이필드
Briarwood	브라이어우드
Hickory Hill	히코리 힐
Meadowbrook Farm	메도우브룩 팜
Martin County	마틴 카운티
Union County	유니언 카운티
Pewee Valley	피위 밸리
Russell Springs	러셀 스프링스
Sadieville	새디빌
Guthrie	거스리
Morganfield	모건필드
Wayne County	웨인 카운티
Graham County	그레이엄 카운티
Slaughters	슬러터스
Simmesport	시메스포트
Sulphur	설퍼
Westlake	웨스트레이크
Logan County	로건 카운티
Morton County	모턴 카운티
Bastrop	배스트롭
Stanton County	스탠턴 카운티
Magoffin County	마고핀 카운티
Leeds	리즈
Amity	아미티
Chesterville	체스터빌
Great Pond	그레이트 폰드
Belgrade	벨그레이드
Klacking	클라킹
Huntington	헌팅턴
Berlin	베를린
Leverett	레버렛
Hamilton	해밀턴
Gosnold	고스널드
Dighton	다이턴
Lee	리
North Adams	노스 애덤스
Pocomoke City	포코모크 시티
Canada	캐나다
Vancouver	밴쿠버
Toronto	토론토
Montreal	몬트리올
Ottawa	오타와
Calgary	캘거리
Ontario	온타리오
Victoria	빅토리아
British Columbia	브리티시컬럼비아
Edmonton	에드먼턴
Nova Scotia	노바스코샤
Winnipeg	위니펙
Halifax	핼리팩스
Alberta	앨버타
Nunavut	누나부트
Kingston	킹스턴
Prince Edward Island	프린스에드워드아일랜드
Saskatoon	새스커툰
Manitoba	매니토바
Yellowknife	옐로나이프
New Brunswick	뉴브런즈윅
Acadia	아카디아
Regina	리자이나
Barrie	베리
Saint John's	세인트존스
Kelowna	킬로나
Saskatchewan	서스캐처원
Hull	헐
Labrador	래브라도
Whistler Mountain	휘슬러 산
Charlottetown	샬럿타운
New Westminster	뉴웨스트민스터
Sudbury	서드베리
Whistler	휘슬러
Yukon	유콘
Mississauga	미시소거
Squamish	스쿼미시
Ellesmere	엘즈미어
Corner Brook	코너브룩
Prince George	프린스조지
Kitsilano	키칠라노
Dartmouth	다트머스
Peachland	피치랜드
Vaughan	반
Kamloops	캠루프스
Mackenzie	매켄지
Oshawa	오샤와
Penticton	펜틱턴
Chatham	채텀
Stratford	스트랫퍼드
Sault Saint Marie	수세인트마리
Kitchener	키치너
Thunder Bay	선더베이
Scarborough	스카버러
Klondike	클론다이크
Harrison Hot Springs	해리슨핫스프링스
Gatineau	가티노
Inuvik	이누빅
Canmore	캔모어
Laval	라발
Brampton	브램턴
Saint John	세인트존
Moncton	멍크턴
Cavendish	캐번디시
Peggys Cove	페기스코브
Fredericton	프레더릭턴
Peterborough	피터버러
Moose Jaw	무스조
Dawson Creek	도손크릭
Sherbrooke	셔브룩
Salmon Arm	샐몬암
Courteney	코트니
Campbell River	캠벨리버
Cornwall	콘월
Hazelton	헤이즐턴
Burnaby	버너비
Cassiar	캐시어
London	런던
Lethbridge	레스브리지
Red Deer	레드디어
Whitehorse	화이트호스
Oakville	오크빌
Perth	퍼스
Burlington	벌링턴
Saint Catharines	세인트캐서린스
Saint Boniface	세인트보니페이스
Radium Hot Springs	레이디엄핫스프링스
Weyburn	웨이번
Dawson	도슨
Watson Lake	왓슨레이크
Harrison Hot Springs	해리슨 핫 스프링스
Granby	그랜비
Longueuil	롱괴이
Owen Sound	오언사운드
Chicoutimi	시쿠티미
Prince Rupert	프린스루퍼트
Vernon	버넌
Sydney	시드니
Hamilton	해밀턴
Chilliwack	칠리왝
Medicine Hat	메디신햇
Cassiar highway	캐시어하이웨이
Churchill	처칠
North Bay	노스베이
Stikine	스티킨
Prince Albert	프린스앨버트
Port Nelson	포트넬슨
Trail	트레일
Windsor	윈저
Port Hardy	포트하디
Comox	커먹스
Battleford	배틀퍼드
Swift Current	스위프트커런트
Yorkton	요크턴
Brockville	브로크빌
Hope	호프
Trout Lake	트라우트레이크
Rigaud	리고
Schefferville	셰퍼빌
Timmins	티민스
Telegraph Creek	텔레그라프크릭
Cumberland	컴벌랜드
Port Arthur	포트아서
Tadoussac	타두삭
Deer	디어
Enderby	엔더비
Turner Valley	터너밸리
Langford	랭퍼드
Aklavik	어클라빅
Tatoga lake	타토가호수
Woodstock	우드스탁
Flin Flon	플린플론
Verdun	베르됭
Cambridge	케임브리지
Drummondville	드러먼드빌
Alma	앨마
Norman Wells	노먼웰스
Arvida	아바이다
Keewatin	키웨이틴
Windsor	윈저
Port Radium	포트레이디엄
Joliette	졸리엣
Shawinigan	셔위니건
Thetford-Mines	셋퍼드마인스
Trenton	트렌턴
gahnite	가나이트
garnetting	가네팅
GANEFO	가네포
garnett	가넷
Garnett	가넷
Ganymede	가니메데
garnierite	가니어라이트
garnet	가닛
garnet paper	가닛페이퍼
Gadda	가다
gadolinite	가돌리나이트
gadolinium	가돌리늄
guard	가드
Gardiner	가드너
Gardner	가드너
guard-rail	가드레일
guard fence	가드펜스
garden golf	가든골프
garden party	가든파티
Gargantua	가르강튀아
Garnier	가르니에
Garborg	가르보르그
Gary	가리
Garibaldi	가리발디
garial	가리알
Gamaliel	가말리엘
gammil	가밀
Gabin	가뱅
garbology	가볼러지
Gabriel	가브리엘
Gabrieli	가브리엘리
Garvey	가비
garbage	가비지
Gassendi	가상디
gasogen	가소겐
gasohol	가소올
gasoline	가솔린
gasoline engine	가솔린엔진
gasoline pump	가솔린펌프
gas	가스
gas-lighter	가스라이터
gas lamp	가스램프
gas range	가스레인지
gas lens	가스렌즈
gas mask	가스마스크
gas mantle	가스맨틀
gas monitor	가스모니터
gas burner	가스버너
gas boiler	가스보일러
gas black	가스블랙
gas cyclone	가스사이클론
gas sampler	가스샘플러
gas stove	가스스토브
gas engine	가스엔진
gas oven range	가스오븐레인지
gas carbon	가스카본
gas cokes	가스코크스
gas chromatography	가스크로마토그래피
gas tank	가스탱크
gas turbine	가스터빈
gasteria	가스테리아
gastrinoma	가스트리노마
gastrin	가스트린
gas packing	가스패킹
gospel	가스펠
gospel song	가스펠송
gas pocket	가스포켓
gas heater	가스히터
gossip	가십
gayal	가얄
gaur	가우르
gauss	가우스
Gauss	가우스
Gautama	가우타마
gown	가운
Gower	가워
Geiger	가이거
guy derrick	가이데릭
guide	가이드
guide number	가이드넘버
guide-line	가이드라인
guide rope	가이드로프
guidebook	가이드북
Geibel	가이벨
Gaiseric	가이세리크
Geissler	가이슬러
Gaea	가이아
Gaius	가이우스
Geyser	가이저
gazania	가자니아
Ghazan Khan	가잔칸
Gazette	가제트
gazelle	가젤
garter belt	가터벨트
Catholic	가톨릭
GATT	가트
GARP	가프
garfish	가피시
Garfield	가필드
Gandhi	간디
Gandhiism	간디즘
Gall	갈
gal	갈
Galdan	갈단
Galago	갈라고
gallacetophenone	갈라세토페논
Galateia	갈라테이아
Galatia	갈라티아
galactan	갈락탄
galactosamine	갈락토사민
galactoside	갈락토시드
galactose	갈락토오스
galanthamine	갈란타민
Galanthus	갈란투스
Galland	갈랑
Garland	갈런드
Galle	갈레
Galenos	갈레노스
Galois	갈루아
gallium	갈륨
Gallimard	갈리마르
garlic	갈릭
galvanometer	갈바노미터
Galvani	갈바니
galtonia	갈토니아
ganglioside	강글리오시드
Gambetta	강베타
Gance	강스
Abel	아벨
gag	개그
gagman	개그맨
ganophyllite	개노필라이트
gather	개더
guarantee	개런티
Garrison	개리슨
Garrick	개릭
gaberdine	개버딘
Gasser	개서
Gaskell	개스켈
gasket	개스킷
Gantt	갠트
gantry	갠트리
gantry crane	갠트리크레인
gallery	갤러리
galloping inflation	갤러핑인플레이션
gallon	갤런
galantine	갤런틴
gallop	갤럽
galop	갤럽
Gallup	갤럽
galley	갤리
galliard	갤리어드
gap	갭
gang	갱
gang age	갱에이지
girdle	거들
governor	거버너
gerbera	거베라
gusset	거싯
gauze	거즈
gutter	거터
gut guitar	거트기타
guppy	거피
Gunn diode	건다이오드
Gunther	건서
gun club check	건클럽체크
Gunter	건터
Girl Guides	걸가이드
Girl Scouts	걸스카우트
Ge	게
Gaede	게데
Guesde	게드
Gerasimov	게라시모프
gerenuk	게레눅
Guernica	게르니카
Germanicus Caesar	게르마니쿠스 카이사르
germane	게르만
Gervinus	게르비누스
Gertsen	게르첸
Gerhardt	게르하르트
Gerlach	게를라흐
Gary	게리
gerrymandering	게리맨더링
Gary system	게리시스템
Guericke	게리케
Gev	게브
Geb	게브
Gesner	게스너
guest	게스트
George	게오르게
Gheorghiu-Dej	게오르기우데지
Gheorghe	게오르게
Georg	게오르크
Gay	게이
gay	게이
Gay-Lussac	게이뤼삭
Gable	게이블
gable	게이블
Geisericus	게이세리쿠스
gauge	게이지
gauge glass	게이지글라스
gauging	게이징
gate	게이트
gate way	게이트웨이
gate keeper	게이트키퍼
gate pulse	게이트펄스
Gainsborough	게인즈버러
Thomas	토머스
Gale	게일
game mania	게임 마니아
game maker	게임메이커
game point	게임포인트
Gesell	게젤
Guettard	게타르
getter	게터
ghetto	게토
Gettysburg	게티즈버그
gentamycin	겐타마이신
Gentiana	겐티아나
Gellius	겔리우스
Gogarten	고가르텐
Gauguin	고갱
go-go	고고
goggles	고글
gonadotropin	고나도트로핀
goniometer	고니오미터
goniophotometer	고니오포토미터
Godiva	고다이바
Goddard	고더드
Godwin	고드윈
Gordon	고든
Gothic	고딕
Gorgias	고르기아스
Gorchakov	고르차코프
gorilla	고릴라
Gaumont	고몽
Gobat	고바
Gobineau	고비노
go behind	고비하인드
Goethals	고설스
Gossen	고센
Gosset	고셋
Gosse	고스
ghost	고스트
ghost image	고스트이미지
ghost pulse	고스트펄스
Ghosh	고시
Goya y Lucientes	고야 이 루시엔테스
Gore	고어
gored skirt	고어드스커트
Goretex	고어텍스
Gozzoli	고촐리
Gozzi	고치
go-cart	고카트
Gokhale	고칼레
Gottwald	고트발트
Gottsched	고트셰트
Gottfried von Strassburg	고트프리트 폰슈트라스부르크
Gotthelf	고트헬프
Gautier	고티에
Goffman	고프먼
Gog	곡
Goncharov	곤차로프
goal	골
goal getter	골게터
goal net	골네트
Goldoni	골도니
Gold	골드
gold rush	골드러시
gold bar	골드바
golden cross	골든 크로스
golden disk	골든디스크
golden hour	골든아워
golden wave	골든웨이브
golden cat	골든캣
Golden Treasury	골든트레저리
Golding	골딩
goal line	골라인
Gaullism	골리즘
goal bar	골바
Goulburn	골번
goal shoot	골슛
goal throw	골스로
goal area	골에어리어
Galway	골웨이
goal judge	골저지
Galsworthy	골즈워디
Golgi	골지
goal crease	골크리스
goalkeeper	골키퍼
goal kick	골킥
Galton	골턴
Goldschmidt	골트슈미트
Goldstein	골트슈타인
goal post	골포스트
golf	골프
Gombrowicz	곰브로비치
Gompers	곰퍼스
gong	공
Goncourt	공쿠르
guarana	과라나
Guarnieri	과르니에리
Guardi	과르디
Guarini	과리니
Guarino	과리노
guayule	과율
guaiacol	과이어콜
Guam	괌
Goebel	괴벨
Goebbels	괴벨스
Goethe	괴테
Gounod	구노
Gudea	구데아
gourami	구라미
Gourmont	구르몽
gooseberry	구스베리
Gustav Vasa	구스타브 바사
Gustav Adolf	구스타브 아돌프
guanethidine	구아네티딘
guano	구아노
guanosine	구아노신
guanidine	구아니딘
guanine	구아닌
guava	구아버
Goujon	구종
Guts Muths	구츠무츠
Gooch	구치
gutta	구타
gutta-percha	구타페르카
Gundolf	군돌프
Gullstrand	굴스트란드
Gupta	굽타
Goodman	굿맨
good morning	굿모닝
Goodyear	굿이어
Guyenne	귀엔
Guyau	귀요
Gneist	그나이스트
Gneisenau	그나이제나우
gnetum	그네툼
grana	그라나
Granados	그라나도스
Granet	그라네
gramicidin	그라미시딘
Grabbe	그라베
gravure	그라비어
Grace	그라스
Grassmann	그라스만
grout	그라우트
grout curtain	그라우트커튼
grout pump	그라우트펌프
grout hole	그라우트홀
grouting	그라우팅
ground	그라운드
ground wrestling	그라운드레슬링
ground rule	그라운드룰
ground boy	그라운드보이
ground smash	그라운드스매시
ground stroke	그라운드스트로크
ground sheet	그라운드시트
Ground Zero	그라운드제로
ground homerun	그라운드홈런
grounding	그라운딩
grounding the ball	그라운딩 더 볼
Grein	그라인
grinder	그라인더
grinding	그라인딩
grinding mill	그라인딩밀
Gracchus	그라쿠스
Gratiae	그라티아이
Grabmann	그라프만
Gram	그람
Gramsci	그람시
Grande Dixence Dam	그랑드디상스댐
granolith	그래놀리스
granolithic	그래놀리식
grammer school	그래머스쿨
grasstex court	그래스텍스코트
graphoscope	그래포스코프
graph	그래프
graph journalism	그래프저널리즘
graphic	그래픽
graphic display	그래픽디스플레이
graphic designer	그래픽디자이너
graphic design	그래픽디자인
graphic art	그래픽아트
graphic equalizer	그래픽이퀄라이저
graphic communication	그래픽커뮤니케이션
graphic core	그래픽코어
graphic terminal	그래픽터미널
graphic panel	그래픽패널
grand	그랜드
Grand Rapids	그랜드래피즈
Grand Bahama	그랜드바하마
Grand Banks	그랜드뱅크스
grand style	그랜드스타일
grandstand	그랜드스탠드
grand slam	그랜드슬램
grand opera	그랜드오페라
Grand Canyon	그랜드캐니언
Grand Coulee Dam	그랜드쿨리댐
grand touring car	그랜드투어링카
grand position	그랜드포지션
grand piano	그랜드피아노
Granville-Barker	그랜빌바커
Grant	그랜트
gram	그램
gram-centimeter	그램센티미터
gram ion	그램이온
gram calorie	그램칼로리
gram ton	그램톤
gradation	그러데이션
Gregory	그레고리
Gregorius Nyssenus	그레고리우스
Graebe	그레베
Gresham	그레셤
Grey	그레이
gray	그레이
gray	그레이
grader	그레이더
grade	그레이드
grading	그레이딩
gray level	그레이레벨
grey market	그레이마켓
graver	그레이버
gravy	그레이비
gravy sauce	그레이비소스
gray scale	그레이스케일
Grahame	그레이엄
Graham	그레이엄
Graham Land	그레이엄랜드
gray zone	그레이존
gray-collar	그레이칼라
Greater Manchester	그레이터맨체스터 주
Great Dane	그레이트데인
Great Barrier Reef	그레이트배리어리프
Great Basin	그레이트베이슨
Great Britain	그레이트브리튼
Great Plains	그레이트플레인스
Great Pyrenees	그레이트피레네
grapefruit	그레이프프루트
grape hyacinth	그레이프히아신스
greyhound	그레이하운드
grain	그레인
grain whisky	그레인위스키
grain check	그레인체크
Greco-Roman	그레코로만
Grekov	그레코프
Grenville	그렌빌
Grenfell	그렌펠
Wilfred Thomaso	윌프레드 토머슨
Gros	그로
groggy	그로기
Gromaire	그로메르
Gromyko	그로미코
Grosse	그로세
groschen	그로셴
gross	그로스
Grossetest	그로스테스트
gross ton	그로스톤
Grotewohl	그로테볼
Grotefend	그로테펜트
Grote	그로트
Gropius	그로피우스
Walter	발터
Greuze	그뢰즈
GRU	그루
Grew	그루
groopie	그루피
Grundtvig	그룬트비
groomed oar	그룸드오어
group	그룹
group dynamics	그룹다이내믹스
group work	그룹워크
groupware	그룹웨어
group technology	그룹테크놀로지
Grumiaux	그뤼미오
Grieg	그리그
Grignard	그리냐르
Greenock	그리녹
Greenwich	그리니치
Greenwich Village	그리니치빌리지
grid	그리드
Greed	그리드
grid bias	그리드바이어스
grid planning	그리드플래닝
Grimmelshausen	그리멜스하우젠
Griboedov	그리보예도프
griseofulvin	그리세오풀빈
Gris	그리스
grease	그리스
grease cup	그리스컵
grease table	그리스테이블
grease pump	그리스펌프
grizzly	그리즐리
Grisi	그리지
griffithite	그리피사이트
Griffis	그리피스
Griffith	그리피스
Gryphius	그리피우스
griffin	그리핀
Green	그린
Grin	그린
green	그린
Greene	그린
Green Round	그린라운드
green laser	그린레이저
Green Beret	그린베레
greenbelt	그린벨트
green border	그린보더
Greenville	그린빌
green oil	그린오일
Greensboro	그린즈버러
green card	그린카드
green tuff	그린터프
green flash	그린플래시
green fee	그린피
Green Peace	그린피스
grill	그릴
Greely	그릴리
Adolphus Washington	아돌푸스 워싱턴
Grillparzer	그릴파르처
Grimm	그림
grip	그립
grit	그릿
gladiolus	글라디올러스
glass	글라스
glass lining	글라스라이닝
glass block	글라스블록
glass fiber pole	글라스파이버폴
glass harmonica	글라스하모니카
glassine paper	글라신페이퍼
glider	글라이더
glider wax	글라이더왁스
glide	글라이드
glide path	글라이드패스
gliding	글라이딩
Gleim	글라임
Gladkov	글랏코프
Gladstone	글래드스턴
gladstone	글래드스턴
Glasgow	글래스고
Glaspell	글래스펠
glam fashion	글램패션
glove	글러브
glare	글레어
glaze	글레이즈
Gleizes	글레이즈
glazing	글레이징
glow	글로
glow lamp	글로램프
glory	글로리
Gloria	글로리아
gloria	글로리아
gloriosa	글로리오사
globalism	글로벌리즘
globulin	글로불린
globe	글로브
globigerina	글로비게리나
globin	글로빈
glow starter	글로스타터
Gloucester	글로스터
glossy	글로시
glow plug	글로플러그
gloxinia	글록시니아
glucitol	글루시톨
gluon	글루온
glucagon	글루카곤
glucosamine	글루코사민
glucoside	글루코시드
glucose	글루코오스
glucogenesis	글루코제네시스
glucocorticoid	글루코코르티코이드
glucolipid	글루콜리피드
Gluck	글루크
glutamine	글루타민
glutathione	글루타티온
glutenin	글루테닌
glutethimide	글루테티미드
gluten	글루텐
glutelin	글루텔린
glee	글리
glibenclamide	글리벤클라마이드
glycerol	글리세롤
glyceraldehyde	글리세르알데히드
glyceride	글리세리드
glycerin	글리세린
glycerin diacetate	글리세린디아세테이트
glycyrrhizin	글리시리진
glycine	글리신
gliotoxin	글리오톡신
glyoxal	글리옥살
glyoxaline	글리옥살린
glyoxysome	글리옥시솜
glycogen	글리코겐
glycoside	글리코시드
glycol	글리콜
glycol ether	글리콜에테르
gliclazide	글리클라자이드
glee club	글리클럽
Glinka	글린카
ghee	기
giga	기가
gigabyte	기가바이트
Gigantopteris	기간토프테리스
Gigantopithecus	기간토피테쿠스
gig	기그
Guinness Book	기네스북
gynogamone	기노가몬
gynura	기누라
guinea	기니
guinea pig	기니피그
Gideon	기드온
Giddings	기딩스
Gierke	기르케
Ghirlandajo	기를란다요
Gibbon	기번
gibbon	기번
Ghiberti	기베르티
Ghiberti	기베르티
Ghibelline	기벨린
give way	기브웨이
Guiscard	기스카르
Gissing	기싱
gear	기어
gear oil	기어오일
gear chamfering machine	기어챔퍼링머신
gear cutter	기어커터
gear coupling	기어커플링
gear pump	기어펌프
Gjellerup	기엘레루프
Guillaumin	기요맹
Guillaume	기욤
Giesebrecht	기제브레히트
Gieseking	기제킹
Guizot	기조
guitar	기타
guitarist	기타리스트
gittern	기턴
Guitry	기트리
Gill	길
Gilgamesh	길가메시
Gilgal	길갈
Gielgud	길구드
guilder	길더
guild	길드
gilding metal	길딩메탈
Gilyak	길랴크
Guilmore	길모어
gilbert	길버트
Gilbert	길버트
Gilbreth	길브레스
gingham	깅엄
Naguib	나기브
NANA	나나
Nana	나나
nano	나노
nanometer	나노미터
nanosecond	나노세컨드
nanoamp	나노앰프
Nathanael	나다나엘
Nadar	나다르
Nathan	나단
Naram-Sin	나람신
Narses	나르세스
Narcisse	나르시스
narcissist	나르시시스트
narcissism	나르시시즘
narcotine	나르코틴
narcolepsy	나르콜렙시
Narcissos	나르키소스
narthex	나르텍스
Nabatea	나바테아
nabam	나밤
NASA	나사
NASARR	나사르
Nasser	나세르
Gamal Abdel	가말 압델
Nasserism	나세리즘
Naumann	나우만
Naidu	나이두
nydrazid	나이드라지드
Naiman	나이만
naive	나이브
Neisser	나이서
Niagara Falls	나이아가라폴스
Nike	나이키
Knight	나이트
night	나이트
nightgown	나이트가운
night game	나이트게임
nightwear	나이트웨어
nightcap	나이트캡
nightclub	나이트클럽
nightingale	나이팅게일
knife	나이프
knife switch	나이프스위치
nine	나인
nineteenth hole	나인틴스홀
ninepins	나인핀스
Nilotic Negro	나일로틱니그로
nylon	나일론
NADGE	나지
Nazism	나치즘
Natta	나타
NATO	나토
Natorp	나토르프
natrolite	나트롤라이트
Nattier	나티에
naproxen	나프록센
naphtha	나프타
naphthalene	나프탈렌
naphthene	나프텐
naphthol	나프톨
naphthiomate	나프티오메이트
naphthylamine	나프틸아민
Nachtigal	나흐티갈
Nansen	난센
nonsense	난센스
Nansen passport	난센패스포트
nalorphine	날로르핀
naloxone	날록손
nalbuphine	날부핀
naltrexone	날트렉손
not out	낫아웃
narration	내레이션
narrator	내레이터
narrowcasting	내로캐스팅
national	내셔널
National Gallery	내셔널갤러리
National League	내셔널리그
nationalism	내셔널리즘
national minimum	내셔널미니멈
national brand	내셔널브랜드
National Academy of Science	내셔널아카데미오브사이언스
national atlas	내셔널애틀러스
national trust	내셔널트러스트
Nashville-Davidson	내슈빌데이비드슨
Nash	내시
natural	내추럴
natural	내추럴
naturalism	내추럴리즘
NAND	낸드
knapsack	냅색
napkin	냅킨
nugget	너깃
nursery school	너서리스쿨
nurse	너스
knuckle ball	너클볼
knucklepart	너클파트
knucklefour	너클포
nut	너트
nut	너트
null	널
number	넘버
numbering	넘버링
numbering machine	넘버링머신
number one	넘버원
Ney	네
negative	네거티브
negative campaign	네거티브 캠페인
negative list	네거티브리스트
negative system	네거티브시스템
negative film	네거티브필름
Negev	네게브
Netherlands	네덜란드
Nedim	네딤
Nereus	네레우스
Nero	네로
Nehru	네루
Neruda	네루다
Nergal	네르갈
Nerva	네르바
Nerval	네르발
Nervo	네르보
Nerthus	네르투스
Nernst	네른스트
nerine	네리네
Nematoda	네마토다
Nemesis	네메시스
Neverov	네베로프
Nebuchadnezzar	네부카드네자르
nebulizer	네뷸라이저
nebula	네뷸러
nesodon	네소돈
Nesmeyanov	네스메야노프
Nestor	네스토르
Nestorius	네스토리우스
Nestroy	네스트로이
Neander	네안더
neo	네오
neo-Gothic	네오고딕
Neo-Nazism	네오나치즘
neo-dadaism	네오다다이즘
Neo-Darwinism	네오다위니즘
neodymium	네오디뮴
Neo-Lamarckism	네오라마르키즘
neo-realism	네오리얼리즘
Neo-Marxism	네오마르크시즘
neomycin	네오마이신
neo-muscat	네오머스캣
neo-Mendelism	네오멘델리즘
neoceratodus	네오세라토더스
neoschwagerina	네오슈와게리나
neostigmine	네오스티그민
Neo-Impressionism	네오임프레셔니즘
neocalamites	네오칼라미테스
Neo-Thomism	네오토미즘
neo-fascism	네오파시즘
neopentane	네오펜탄
neoprene	네오프렌
Neo-Freudism	네오프로이디즘
Neoptolemos	네오프톨레모스
Neo-platonism	네오플라토니즘
neopilina	네오필리나
neon	네온
neon lamp	네온램프
neon sign	네온사인
neon tetra	네온테트라
navel orange	네이블오렌지
navy double punch	네이비 더블 펀치
navy blue	네이비블루
Nathan	네이선
Nasmyth	네이즈미스
native	네이티브
native speaker	네이티브 스피커
Napier	네이피어
nail	네일
nail lacquer	네일래커
nail enamel	네일에나멜
name	네임
Nezval	네즈발
neckerchief	네커치프
Necker	네케르
Necho	네코
Nekrasov	네크라소프
neckline	네크라인
necrophobia	네크로포비아
net	네트
net game	네트게임
net man	네트맨
netball	네트볼
network	네트워크
network game	네트워크 게임
Network Community	네트워크커뮤니티
network computer	네트워크컴퓨터
networking	네트워킹
net touch	네트터치
net play	네트플레이
netizen	네티즌
netiquette	네티켓
Nepal	네팔
neper	네퍼
Nefertum	네페르툼
nepenthes	네펜테스
Nepos	네포스
nepotism	네포티즘
NEP	네프
nephron	네프론
Nephthys	네프티스
neck	넥
next	넥스트
nectar	넥타
necktie	넥타이
nekton	넥톤
Nenni	넨니
Neleus	넬레우스
nelson	넬슨
nep	넵
Neptunus	넵투누스
neptunium	넵투늄
Neptune	넵튠
no game	노게임
no goal	노골
nonane	노난
nonet	노넷
Nono	노노
no down	노다운
norther	노더
nodule	노듈
node	노드
Nodier	노디에
Nora	노라
NORAD	노라드
Noraism	노라이즘
Nornen	노르넨
Nordide	노르디데
Norwid	노르비트
noradrenalin	노르아드레날린
norepinephrine	노르에피네프린
Norris	노리스
Norris Dam	노리스댐
Norrish	노리시
normalization	노멀라이제이션
normal butane	노멀부탄
normal tone	노멀톤
nomograph	노모그래프
nomogram	노모그램
nomos	노모스
nominal damage	노미널대미지
nominate	노미네이트
nova	노바
Nova Scotia	노바스코샤
Novalis	노발리스
Noverre	노베르
Nobel	노벨
Novela	노벨라
nobelium	노벨륨
novelty	노벨티
novembichin	노벰비킨
novobiocin	노보비오신
novolak	노볼락
Novum Organum	노붐 오르가눔
knob	노브
Novial	노비알
Novikov	노비코프
Nobile	노빌레
nobilitas	노빌리타스
no side	노사이드
Nossack	노사크
North Dakota	노스다코타
noscapine	노스카핀
